month,sales,region,price
2019-01-01,100.0,egypt,10.0
2019-02-01,106.0,egypt,10.1
2019-03-01,110.93,egypt,10.2
2019-04-01,114.0,egypt,10.3
2019-05-01,114.93,egypt,10.4
2019-06-01,114.0,egypt,10.5
2019-07-01,112.0,egypt,10.6
2019-08-01,110.0,egypt,10.7
2019-09-01,109.07,egypt,10.8
2019-10-01,110.0,egypt,10.9
2019-11-01,113.07,egypt,11.0
2019-12-01,118.0,egypt,11.1
2020-01-01,124.0,egypt,11.2
2020-02-01,130.0,egypt,11.3
2020-03-01,134.93,egypt,11.4
2020-04-01,138.0,egypt,11.5
2020-05-01,138.93,egypt,11.6
2020-06-01,138.0,egypt,11.7
2020-07-01,136.0,egypt,11.8
2020-08-01,134.0,egypt,11.9
2020-09-01,133.07,egypt,12.0
2020-10-01,134.0,egypt,12.1
2020-11-01,137.07,egypt,12.2
2020-12-01,142.0,egypt,12.3
2021-01-01,148.0,egypt,12.4
2021-02-01,154.0,egypt,12.5
2021-03-01,158.93,egypt,12.6
2021-04-01,162.0,egypt,12.7
2021-05-01,162.93,egypt,12.8
2021-06-01,162.0,egypt,12.9
2021-07-01,160.0,egypt,13.0
2021-08-01,158.0,egypt,13.1
2021-09-01,157.07,egypt,13.2
2021-10-01,158.0,egypt,13.3
2021-11-01,161.07,egypt,13.4
2021-12-01,166.0,egypt,13.5
2022-01-01,172.0,egypt,13.6
2022-02-01,178.0,egypt,13.7
2022-03-01,182.93,egypt,13.8
2022-04-01,186.0,egypt,13.9
2022-05-01,186.93,egypt,14.0
2022-06-01,186.0,egypt,14.1
2022-07-01,184.0,egypt,14.2
2022-08-01,182.0,egypt,14.3
2022-09-01,181.07,egypt,14.4
2022-10-01,182.0,egypt,14.5
2022-11-01,185.07,egypt,14.6
2022-12-01,190.0,egypt,14.7
2019-01-01,150.0,uae,10.0
2019-02-01,156.0,uae,10.1
2019-03-01,160.93,uae,10.2
2019-04-01,164.0,uae,10.3
2019-05-01,164.93,uae,10.4
2019-06-01,164.0,uae,10.5
2019-07-01,162.0,uae,10.6
2019-08-01,160.0,uae,10.7
2019-09-01,159.07,uae,10.8
2019-10-01,160.0,uae,10.9
2019-11-01,163.07,uae,11.0
2019-12-01,168.0,uae,11.1
2020-01-01,174.0,uae,11.2
2020-02-01,180.0,uae,11.3
2020-03-01,184.93,uae,11.4
2020-04-01,188.0,uae,11.5
2020-05-01,188.93,uae,11.6
2020-06-01,188.0,uae,11.7
2020-07-01,186.0,uae,11.8
2020-08-01,184.0,uae,11.9
2020-09-01,183.07,uae,12.0
2020-10-01,184.0,uae,12.1
2020-11-01,187.07,uae,12.2
2020-12-01,192.0,uae,12.3
2021-01-01,198.0,uae,12.4
2021-02-01,204.0,uae,12.5
2021-03-01,208.93,uae,12.6
2021-04-01,212.0,uae,12.7
2021-05-01,212.93,uae,12.8
2021-06-01,212.0,uae,12.9
2021-07-01,210.0,uae,13.0
2021-08-01,208.0,uae,13.1
2021-09-01,207.07,uae,13.2
2021-10-01,208.0,uae,13.3
2021-11-01,211.07,uae,13.4
2021-12-01,216.0,uae,13.5
2022-01-01,222.0,uae,13.6
2022-02-01,228.0,uae,13.7
2022-03-01,232.93,uae,13.8
2022-04-01,236.0,uae,13.9
2022-05-01,236.93,uae,14.0
2022-06-01,236.0,uae,14.1
2022-07-01,234.0,uae,14.2
2022-08-01,232.0,uae,14.3
2022-09-01,231.07,uae,14.4
2022-10-01,232.0,uae,14.5
2022-11-01,235.07,uae,14.6
2022-12-01,240.0,uae,14.7
